Order Date,Total Sales,Total Profit,Total Quantity
2022-01-15,10601,2587.78,18
2023-08-10,5180,996.3599999999999,13
2024-08-07,25039,4804.06,39
2024-01-30,2545,341.3,5
2022-01-09,10551,2123.38,15
2024-07-24,12943,1697.69,25
2022-04-27,3767,885.72,13
2024-06-11,4298,1014.42,22
2023-06-01,6192,1115.1200000000001,14
2022-12-11,6522,752.5799999999999,12
2022-12-12,6168,1471.88,9
2022-09-07,2596,584.01,12
2022-05-07,7794,922.04,15
2022-09-06,3153,563.56,3
2023-11-04,15061,2192.96,19
2022-02-01,315,61.94,3
2023-03-04,2502,332.53,11
2022-05-23,3873,638.1800000000001,8
2022-07-05,7009,905.8900000000001,18
2024-08-01,10108,1975.48,30
2024-04-08,7779,1817.36,11
2022-08-15,1479,207.58,3
2023-04-29,11272,1613.48,11
2024-01-14,4728,682.01,6
2024-07-17,12468,2327.0299999999997,22
2022-12-28,1163,115.09,1
2024-07-30,6730,1265.13,10
2022-04-12,260,66.02,4
2024-11-27,14153,1592.33,25
2023-10-29,3658,1021.0899999999999,10
2024-01-02,16178,2437.34,25
2024-06-15,4504,481.90999999999997,8
2022-06-02,5243,1116.66,14
2024-11-05,4375,347.43,5
2022-06-05,18245,3112.0499999999997,25
2022-01-18,10825,1497.98,18
2022-08-03,8417,1325.21,14
2024-06-23,15155,2439.16,19
2022-03-19,24374,4694.46,36
2022-12-19,10857,2733.11,18
2024-11-15,20024,2388.58,30
2022-12-29,8487,929.24,15
2023-08-03,6745,471.99,13
2024-12-02,839,228.72,1
2022-08-07,6284,841.02,11
2024-08-09,9743,1779.1999999999998,13
2024-09-03,8942,883.4,12
2024-07-21,7020,623.97,9
2024-12-09,5832,662.72,8
2024-04-02,2146,458.82,10
2024-11-14,11133,1594.91,18
2023-02-16,11519,856.97,15
2022-05-24,22155,4223.89,31
2022-08-08,7941,1475.73,9
2022-07-15,17182,4176.59,25
2022-01-10,15857,2502.45,20
2022-04-18,4488,939.05,6
2023-07-31,5512,1233.98,10
2023-08-06,13618,2698.12,16
2023-08-20,22513,4139.71,36
2022-10-11,4240,251.46,4
2022-06-29,8163,2352.46,9
2022-07-29,15873,2301.58,21
2024-04-06,10147,993.31,16
2023-01-02,14304,2190.5,22
2024-07-25,15060,1580.49,19
2024-09-29,1964,419.16999999999996,8
2023-05-09,15978,2735.5699999999997,25
2022-01-08,7344,1169.97,13
2024-04-27,5442,893.5500000000001,12
2022-09-20,700,120.19,4
2024-03-12,11904,1543.05,25
2024-05-05,12595,2657.7000000000003,18
2022-04-09,19609,3368.35,29
2024-11-06,10672,1369.6399999999999,22
2022-11-01,10483,1752.31,16
2022-01-24,12798,1477.01,15
2024-05-29,6713,457.99,7
2024-04-15,9113,1209.31,21
2024-05-23,11652,1813.53,25
2022-06-28,10641,1908.52,20
2024-09-22,13284,2456.32,16
2022-04-06,9155,1818.4,11
2022-07-24,3472,626.46,7
2023-05-30,586,101.64,2
2022-06-19,3765,833.04,8
2022-04-21,7816,2049.56,14
2022-05-06,2201,540.68,12
2023-10-13,16424,3563.3500000000004,32
2023-05-19,13902,3278.1699999999996,37
2023-05-20,4302,965.02,6
2023-06-07,4721,949.54,10
2023-12-11,16842,3419.3,26
2022-01-23,5961,776.34,15
2024-12-30,9828,1733.5400000000002,11
2024-10-18,11313,2132.47,20
2023-11-05,17621,3243.18,23
2023-04-12,4231,1004.66,9
2023-04-21,23956,5475.74,26
2022-08-14,25365,5643.49,47
2022-12-08,3822,388.34,6
2023-06-12,5945,1320.6499999999999,8
2023-01-28,17318,2466.71,24
2023-06-21,1932,109.07,2
2023-11-16,18585,2673.41,20
2024-03-05,12099,1461.75,18
2024-06-05,15540,2246.91,26
2022-07-10,15645,2584.0,15
2022-03-11,495,55.17,1
2022-07-16,1332,342.85,4
2022-08-12,6924,1026.08,20
2022-02-15,6784,1104.6999999999998,12
2023-04-01,2330,542.51,3
2024-08-03,8275,1024.1499999999999,16
2023-01-11,11406,2021.65,23
2022-01-16,21501,4488.360000000001,28
2022-12-06,8918,1084.42,17
2024-08-15,3296,623.67,8
2022-11-23,9648,1438.19,12
2022-10-06,21597,3125.2599999999998,24
2024-12-26,8902,1667.8299999999997,27
2024-03-06,10898,1849.6399999999999,19
2023-07-19,6216,1356.41,9
2024-10-10,5621,448.03,7
2023-09-17,11711,1532.3400000000001,13
2023-12-31,12933,2252.76,17
2023-10-06,915,264.3,1
2022-11-10,15174,1954.23,17
2024-09-12,9213,1092.9299999999998,20
2023-09-12,17112,1974.42,26
2022-12-26,6080,1041.79,11
2022-07-01,4727,954.8999999999999,10
2024-12-03,5773,858.33,18
2022-02-12,294,35.05,2
2022-02-22,9720,1332.0500000000002,17
2022-12-17,7655,1459.38,16
2024-02-08,456,61.42,3
2023-04-09,19842,3138.4199999999996,21
2024-09-01,18266,2481.12,25
2022-07-14,513,151.87,9
2024-04-24,9101,1842.1200000000001,14
2022-07-13,7655,1517.6,13
2024-06-02,14239,2044.4099999999999,24
2023-05-13,4916,987.94,9
2023-09-08,4732,1084.28,7
2022-12-05,9403,1742.01,15
2024-04-13,6792,508.11,9
2024-04-14,10878,1990.58,13
2024-08-08,21737,4815.96,37
2022-05-02,9275,2416.71,16
2024-12-07,21510,4368.24,26
2022-03-26,4747,1003.5999999999999,17
2023-02-18,5516,1475.67,7
2022-08-05,19382,4069.68,33
2022-02-28,2922,409.98,14
2022-12-10,14759,1981.3999999999999,19
2024-05-08,6641,1265.6699999999998,15
2024-10-20,17883,2627.37,30
2022-12-04,16549,2560.4300000000003,23
2024-04-18,4253,882.6,6
2023-07-07,4486,1056.43,8
2024-04-23,3752,537.98,8
2022-08-10,8262,1578.75,10
2023-02-01,23599,5348.87,36
2024-09-08,13801,1994.12,25
2023-09-01,9298,2028.81,10
2022-11-28,12464,2402.53,23
2022-04-15,25953,5447.92,41
2023-12-12,11354,2361.96,15
2022-09-09,4482,977.22,9
2024-09-25,27882,5383.15,36
2024-04-25,12074,1988.1399999999999,15
2023-07-22,3563,1019.25,4
2024-10-01,17528,3893.52,28
2023-03-25,10753,2198.41,16
2023-06-30,14679,2339.84,21
2022-06-23,6507,1045.14,9
2022-09-28,10058,1705.72,20
2022-01-13,14255,2307.88,21
2022-11-22,5510,1251.95,12
2024-08-19,4870,934.01,14
2022-10-23,26831,3957.29,31
2024-02-06,3648,663.8,15
2024-02-17,5552,821.67,10
2023-04-06,11979,1805.74,20
2022-02-10,1350,189.13,9
2024-05-21,3466,446.59000000000003,7
2023-12-15,2568,353.26,13
2023-08-14,6555,995.42,14
2022-11-24,14676,3673.0099999999998,23
2022-09-24,10765,1700.05,21
2023-11-15,4257,619.1800000000001,7
2024-11-30,351,31.95,1
2024-11-20,20370,4559.08,31
2024-09-07,6400,999.69,12
2023-04-10,8076,1609.27,16
2022-02-04,2880,315.87,8
2024-04-26,10668,2021.53,25
2023-05-02,7778,1482.92,13
2024-11-09,10992,761.8600000000001,15
2023-09-20,4287,663.19,15
2024-01-18,9383,2142.32,13
2024-03-08,15856,2117.31,31
2022-10-18,10109,1339.48,10
2022-03-09,3707,741.45,7
2024-02-29,9648,1573.6800000000003,31
2024-07-23,6968,1009.97,9
2022-06-03,5460,845.75,6
2023-09-10,10340,2200.43,12
2022-08-18,12625,2525.88,24
2023-04-17,496,146.92,1
2023-07-12,11128,2076.2599999999998,12
2023-06-11,7335,1573.33,19
2023-04-11,22870,2922.6499999999996,32
2022-02-07,6797,1414.7799999999997,14
2022-10-20,19756,3047.88,33
2022-10-07,9810,1008.6,9
2023-01-12,16104,4030.7000000000003,16
2024-09-21,25659,4198.52,32
2023-05-27,11389,3238.03,15
2023-08-15,2152,197.05,10
2024-05-15,8962,1390.08,14
2024-02-23,6944,1555.8899999999999,8
2024-02-27,2248,473.21,2
2023-11-19,13454,2233.8599999999997,17
2024-04-07,5359,1092.47,14
2024-01-09,5764,982.12,9
2022-10-15,20987,2921.95,25
2023-09-18,22744,3130.83,25
2024-08-16,14586,2981.7300000000005,22
2022-08-25,10461,1147.2,10
2024-01-19,4122,1112.19,6
2023-04-02,27245,5510.4,30
2022-03-25,19590,4095.7099999999996,29
2022-06-16,13434,1542.52,16
2023-11-20,17495,2536.27,26
2022-09-25,11448,2783.98,12
2022-09-12,13381,1267.8600000000001,18
2023-02-15,8599,1858.4699999999998,16
2022-10-24,8460,2278.61,17
2022-06-17,8336,522.38,15
2022-12-21,7793,1045.72,12
2022-08-06,2431,453.88,5
2023-12-29,13995,3348.4700000000003,20
2024-12-18,4798,619.06,5
2023-06-26,11534,1105.61,18
2023-01-25,13453,2141.41,17
2024-06-06,12020,1860.88,12
2024-04-01,22437,3297.71,37
2023-08-17,6141,1226.52,13
2023-07-10,17932,3103.67,21
2022-02-03,9884,1008.28,14
2024-02-10,1333,351.02000000000004,3
2022-09-05,6020,384.74,7
2024-03-19,16982,2083.08,23
2023-06-05,1724,233.21,4
2022-01-06,232,34.26,1
2024-01-28,6804,1444.63,13
2023-02-10,14540,2288.95,22
2023-10-16,5928,1177.2,6
2023-01-21,11616,2585.16,21
2023-02-14,8433,1550.6100000000001,9
2024-09-06,7340,740.7,10
2023-10-08,13769,3191.75,17
2023-03-26,15432,3377.3900000000003,16
2023-10-25,8586,1441.8000000000002,11
2024-03-29,8275,2240.55,19
2022-09-26,11143,2427.89,15
2022-03-01,1796,225.15,2
2023-09-21,11755,1613.78,26
2023-02-05,14176,2309.54,22
2024-03-04,37581,7231.53,47
2023-11-14,1058,298.69,2
2024-05-10,13288,1934.29,15
2024-05-09,6578,762.48,16
2024-12-31,4570,562.53,10
2022-11-04,31061,4840.599999999999,41
2022-07-11,9189,1955.6399999999999,20
2023-05-17,16297,3000.54,20
2022-10-14,1838,153.8,11
2024-11-18,4681,367.78,9
2023-05-01,4580,655.14,4
2024-07-31,10255,1927.98,20
2023-09-05,194,52.16,2
2023-07-02,2752,394.66,8
2023-08-23,19095,3915.75,24
2023-11-26,1925,570.93,5
2022-11-14,21144,4720.92,25
2024-02-19,5091,927.22,6
2023-06-04,8851,1978.01,19
2024-01-13,7176,1541.8,10
2024-02-25,8633,1178.75,10
2023-05-21,22805,3989.34,30
2022-05-18,9528,1664.3899999999999,18
2022-10-05,6019,1028.95,18
2024-07-02,8103,1608.08,11
2024-07-14,13464,3333.88,19
2022-02-23,7422,1222.44,15
2024-06-08,7542,1477.49,9
2023-10-15,9458,1981.8799999999999,10
2023-12-14,1720,360.78,4
2022-10-08,6596,1097.97,7
2022-11-07,13077,3598.31,34
2023-07-28,5264,1112.1799999999998,10
2023-01-26,9068,1780.65,10
2022-07-30,847,146.25,1
2024-11-08,6583,1303.77,20
2024-01-05,17042,3754.4099999999994,26
2023-09-15,13804,2669.5,23
2024-09-19,15866,2822.7699999999995,25
2023-01-05,8136,1923.89,9
2024-10-04,1825,221.47,5
2023-02-06,5159,755.22,7
2024-12-16,10427,1399.76,17
2024-08-24,11917,923.98,18
2024-11-11,5398,1044.45,16
2024-08-23,4036,493.80999999999995,12
2023-04-28,9485,1412.0600000000002,15
2022-02-21,2282,537.71,7
2024-02-12,8664,2349.68,8
2024-05-13,19125,2957.9399999999996,19
2022-02-19,13049,2994.16,14
2023-07-13,10836,1634.22,16
2022-03-14,10923,1835.5500000000002,18
2023-12-20,6091,1276.18,16
2022-05-20,5006,549.03,12
2023-08-18,13118,2011.67,22
2023-12-24,16026,3388.0699999999997,26
2023-08-01,14927,1956.1100000000001,17
2024-05-01,9947,915.19,9
2024-10-15,30561,5096.43,35
2024-01-26,11833,2836.64,20
2023-03-17,27141,4607.249999999999,44
2023-02-02,23353,6179.869999999999,28
2024-11-13,2930,739.55,5
2022-10-26,2640,668.12,6
2022-06-12,1272,344.45,8
2023-02-19,8152,1351.62,9
2023-03-20,920,98.31,1
2022-10-21,21398,3234.54,28
2023-12-18,21846,4161.29,29
2024-01-31,15690,2726.29,22
2023-09-30,8280,621.28,14
2022-03-07,4372,1025.24,12
2022-07-02,8896,1825.26,8
2024-06-03,8261,871.1,11
2024-04-19,2190,477.8,2
2024-12-20,17870,2823.01,33
2024-09-09,9411,2180.16,22
2024-02-11,7464,1716.3200000000002,12
2023-09-22,2940,356.91999999999996,10
2024-10-28,8072,1482.6599999999999,16
2024-05-31,18746,2739.76,27
2024-08-31,9289,1482.0700000000002,17
2024-06-10,11845,1622.9800000000002,16
2022-06-11,10583,1215.81,17
2023-05-26,10246,2205.8,24
2022-03-27,12459,2401.3300000000004,23
2023-12-27,10256,1517.8399999999997,17
2022-12-27,3211,845.4300000000001,7
2022-09-14,8578,1319.46,21
2024-09-05,19096,3005.3700000000003,33
2022-06-07,8483,973.65,12
2024-10-29,16697,4267.22,27
2023-12-08,15048,4086.92,15
2022-05-05,10992,1208.33,15
2023-05-10,12411,2383.52,14
2023-06-16,2220,121.14,3
2023-05-29,13543,2195.35,23
2023-02-11,16572,2037.9,22
2023-02-24,27730,4090.47,38
2022-12-24,8230,2340.67,10
2022-07-08,920,214.27,8
2022-12-15,8571,1578.9399999999998,19
2024-03-23,3390,369.01000000000005,8
2024-10-17,6537,1112.22,13
2022-07-03,8640,1963.34,9
2022-05-28,11391,2167.3100000000004,18
2022-10-10,11250,1297.28,27
2024-01-04,5355,1443.1899999999998,9
2023-05-25,12312,2526.45,22
2023-05-12,7546,521.26,9
2024-05-16,2790,719.15,6
2024-01-22,3240,720.07,14
2022-07-17,765,157.64,5
2024-02-07,2274,417.27,7
2022-03-08,3078,503.06000000000006,10
2022-04-30,16700,2336.59,28
2022-09-01,8798,1206.59,9
2024-04-10,1134,179.74,7
2024-01-24,9260,1375.0,12
2024-07-01,4192,690.15,21
2022-08-28,6672,514.87,15
2022-11-03,6673,1168.8400000000001,21
2023-05-23,6579,1344.1,8
2024-10-31,12438,1192.8,21
2022-01-03,2723,638.26,7
2022-08-23,1557,117.36,9
2023-01-31,15054,2334.74,23
2024-01-15,6874,454.53,7
2022-07-04,8226,1405.45,15
2022-02-27,4584,540.46,10
2024-04-29,18811,3140.82,29
2022-02-08,17783,2681.46,40
2024-11-26,5129,503.43999999999994,19
2022-02-14,4221,872.4,5
2024-07-07,10761,2555.83,16
2024-05-20,17543,1500.8700000000001,33
2024-07-15,7174,1664.8000000000002,13
2024-01-10,9704,2540.46,17
2023-11-28,12750,2657.5899999999997,23
2024-12-24,31382,4559.4400000000005,52
2023-10-18,8442,1023.44,9
2023-10-09,12018,2127.3,31
2024-07-13,24217,4201.4800000000005,36
2023-02-21,18356,3536.13,28
2022-02-13,17277,3267.5399999999995,30
2022-11-11,1788,414.01,10
2024-08-02,1245,229.73,3
2023-05-11,1406,169.0,10
2022-09-02,2368,244.98000000000002,3
2024-10-07,6050,1730.5,13
2023-12-06,16176,3574.47,18
2022-04-23,5896,1449.13,14
2024-05-26,7084,1053.6100000000001,14
2023-02-04,9375,1393.22,15
2023-02-09,9278,1011.01,14
2023-09-07,7308,948.4,7
2024-04-04,11785,2035.4,13
2022-10-04,1340,236.10000000000002,7
2022-02-09,5939,506.62,10
2024-05-22,3333,522.4000000000001,9
2023-06-14,7003,1505.16,23
2023-01-03,19979,5500.6,41
2022-08-01,21216,2299.67,31
2022-07-21,10662,2004.8200000000002,13
2023-04-25,14276,2511.04,30
2022-06-09,6250,996.4,19
2024-02-13,10081,2166.81,17
2023-07-03,12596,2907.01,14
2022-01-25,5625,1637.84,10
2023-05-08,19359,1942.78,21
2024-05-17,44063,5591.120000000001,60
2024-01-23,22778,3761.23,21
2023-06-15,6032,1636.61,8
2022-04-11,13307,3921.84,23
2024-12-14,2445,146.6,5
2023-09-13,30962,6585.280000000001,38
2022-08-09,4200,330.48,5
2022-12-03,6523,1263.81,11
2023-06-03,3320,669.86,10
2023-08-27,7939,1387.55,10
2024-11-16,20508,2902.3,22
2024-12-27,7957,1623.4099999999999,12
2022-09-15,20965,2753.1800000000003,39
2023-12-22,13558,2888.85,24
2024-09-28,7220,1109.42,10
2023-01-13,30674,4200.08,43
2022-01-30,5352,1133.57,8
2023-08-19,17291,2878.2099999999996,28
2024-06-25,9122,808.01,15
2024-11-24,10708,1393.3899999999999,18
2022-07-25,3170,814.6099999999999,10
2024-11-17,7736,1389.53,15
2022-01-07,6626,975.25,10
2023-04-03,735,217.79,3
2024-06-07,7798,1298.29,16
2023-03-05,5604,951.26,12
2022-09-21,978,210.75,2
2024-03-21,9246,1063.55,18
2024-12-10,5622,786.04,7
2022-05-22,7618,1523.29,9
2023-01-14,14900,2045.7600000000002,22
2024-05-24,26774,4806.2,50
2023-08-24,7497,1456.7099999999998,13
2023-06-02,16870,2235.59,22
2022-09-10,2613,411.28,5
2023-10-27,1344,338.4,6
2023-02-22,867,58.2,3
2022-05-14,6766,1264.33,20
2022-11-13,2281,268.62,6
2024-11-01,22545,2775.7,23
2023-03-09,1488,382.09,3
2023-04-08,1176,313.58,8
2024-01-12,978,182.46,6
2024-12-21,14829,2750.44,24
2023-05-18,20599,2072.7,28
2023-02-13,3505,470.57,7
2024-10-11,16229,2957.27,20
2022-06-15,1926,226.57999999999998,4
2023-03-21,16576,3954.9799999999996,24
2024-08-21,11328,1521.87,13
2024-01-17,22593,3821.11,38
2023-01-06,11009,2690.9700000000003,14
2022-04-07,9229,1954.0900000000001,24
2022-05-10,3886,556.35,15
2022-12-07,10538,1346.98,18
2023-07-11,12003,1996.3100000000002,24
2022-08-26,13495,1714.73,22
2022-07-09,14178,2435.44,27
2024-08-13,8792,1956.8500000000001,10
2022-05-12,7386,1533.02,9
2022-11-09,3222,846.27,6
2024-05-14,23115,4924.03,32
2023-04-15,2607,660.23,5
2023-08-31,2941,455.87,11
2024-12-17,4918,780.66,6
2024-09-26,1755,290.11,6
2022-03-13,7721,1128.6599999999999,14
2022-01-22,2888,519.28,6
2022-05-30,10577,2586.32,12
2022-10-17,6419,1491.18,19
2024-06-13,579,133.57,1
2022-02-05,9663,1552.48,15
2022-05-16,12593,2302.67,17
2023-08-22,15017,2642.48,21
2022-01-04,18347,4055.41,26
2024-07-26,2071,245.92999999999998,7
2022-10-27,7234,1168.98,7
2024-09-23,11592,1481.6599999999999,13
2023-03-29,8503,1365.48,20
2024-11-21,7620,1294.5100000000002,17
2022-10-30,9690,1615.3,12
2022-09-27,18592,3750.29,21
2022-05-29,20156,4086.22,37
2022-12-18,13146,2171.4399999999996,14
2023-01-22,12134,2545.45,18
2023-12-30,6631,1132.4499999999998,9
2023-04-13,11891,1950.41,21
2023-08-05,21055,2494.18,25
2023-08-13,42639,5279.949999999999,51
2024-12-06,20152,4095.7,35
2024-06-28,17419,2609.12,26
2022-09-18,1745,276.87,5
2024-10-16,430,114.91,2
2024-05-02,10689,1513.44,22
2022-01-17,8392,1466.32,14
2023-12-28,13648,2431.4800000000005,18
2023-11-23,2607,448.26000000000005,11
2022-07-19,2370,641.23,2
2023-05-06,15386,2689.9300000000003,15
2024-02-24,6097,567.32,7
2024-09-20,10603,1685.22,16
2024-12-25,18424,3852.58,24
2022-05-15,10882,931.2099999999999,18
2022-08-16,4800,930.44,6
2023-05-24,8678,900.7,14
2022-03-24,897,250.78,1
2022-01-28,12863,2555.42,23
2023-12-17,3267,596.35,11
2023-12-01,13676,2588.09,23
2023-03-01,8658,1685.91,14
2024-03-02,9224,1410.21,18
2024-02-01,18822,2333.22,26
2022-11-12,7032,1182.02,9
2024-06-14,2149,121.69,7
2024-04-12,12766,2037.4,25
2024-07-29,10370,1490.73,14
2023-11-12,11016,2138.1800000000003,28
2022-06-08,1688,337.33,8
2022-07-28,1080,183.42,9
2022-06-10,26400,4576.81,38
2023-10-05,4723,1309.97,8
2022-10-03,6618,826.31,12
2024-01-03,4242,944.51,12
2023-02-07,22771,4952.26,29
2022-01-20,1197,257.94,2
2023-10-02,5231,686.5899999999999,6
2024-03-13,5109,1051.8400000000001,8
2022-08-29,12791,1715.78,15
2024-10-27,4287,883.93,6
2024-02-20,8060,1159.46,13
2023-11-10,15064,2250.12,14
2024-04-17,10490,1878.52,33
2024-12-05,5178,591.9300000000001,16
2023-12-04,26132,4537.679999999999,34
2024-07-20,8972,1928.77,16
2023-09-23,8562,2096.16,10
2023-06-10,9311,1503.27,19
2022-03-06,3522,626.72,6
2023-05-04,10922,1772.35,26
2022-09-03,16753,3363.11,27
2022-03-29,14542,1625.87,15
2024-03-11,1414,336.27,8
2022-04-22,5086,1060.6399999999999,20
2023-02-12,1836,508.81,6
2023-03-14,16764,2047.32,27
2022-05-11,24692,2311.17,34
2023-08-04,10699,1897.4499999999998,15
2023-01-04,6924,1693.77,6
2022-10-12,5072,426.48,5
2022-11-19,10121,2629.5899999999997,18
2024-03-24,16540,3819.1,35
2024-03-09,17945,2226.1000000000004,19
2022-06-25,3520,359.84,8
2023-04-20,27937,5037.119999999999,34
2022-04-29,3771,631.38,5
2024-09-15,6342,1098.95,16
2022-03-18,18284,3222.4300000000003,19
2024-06-20,10569,2426.38,16
2022-10-01,26030,5518.21,38
2023-07-05,1524,189.32,4
2023-08-30,6787,998.36,11
2023-09-04,10145,1176.1,16
2023-07-06,11226,1623.7,21
2023-06-17,13809,3627.0400000000004,22
2023-10-03,5398,709.69,10
2023-07-08,9039,1903.14,11
2022-03-10,26655,4218.4400000000005,42
2024-07-04,15986,2186.3,29
2024-01-16,7513,906.6200000000001,21
2024-04-21,20475,4131.43,18
2022-05-09,30550,5903.1,33
2022-09-30,7127,1315.49,16
2024-02-03,12154,2355.0299999999997,16
2024-07-22,6520,1073.62,8
2024-03-01,9444,2616.35,14
2023-07-25,8113,995.03,7
2024-03-26,14798,2048.3999999999996,25
2024-10-19,3670,790.67,5
2024-10-09,14051,2185.71,21
2024-10-12,8092,1259.75,14
2023-05-05,11982,2320.36,23
2022-07-23,4745,1013.92,11
2023-06-06,14426,1871.07,25
2024-06-26,9204,2174.7999999999997,16
2023-11-03,1935,128.01,5
2023-12-25,10801,2505.42,13
2024-08-28,8818,1268.73,8
2024-03-03,6993,720.1600000000001,13
2024-04-28,28323,4295.52,42
2023-08-09,10320,1651.24,16
2022-11-26,10643,2542.8799999999997,20
2022-11-27,5887,1376.0,14
2023-12-09,5726,1376.31,6
2023-08-21,8049,1233.2,12
2022-08-19,12209,1753.4,19
2023-04-30,4896,723.69,7
2023-02-27,9242,1562.1599999999999,20
2022-02-18,10154,1363.0,13
2023-12-16,13741,3313.76,20
2023-05-14,22434,5714.7699999999995,31
2022-07-26,10100,2332.07,15
2022-03-20,10685,2621.33,13
2023-01-07,5440,457.04,5
2023-05-31,14874,2002.3999999999999,25
2023-11-21,12072,2328.61,12
2024-02-26,3887,589.34,8
2022-04-14,15777,3939.0400000000004,27
2022-11-06,6451,1239.95,15
2023-07-24,8621,1180.48,11
2022-09-23,4329,511.31,13
2024-02-18,11873,3040.42,14
2022-02-26,2132,365.44,2
2024-11-10,8667,1597.49,9
2023-11-09,5190,1215.07,6
2024-02-28,1872,418.05,4
2024-10-23,92,14.88,1
2024-12-29,21149,4572.73,30
2023-01-24,9717,2063.27,17
2022-11-16,13244,3299.09,17
2024-11-28,9576,971.2600000000001,21
2022-03-31,15370,2553.21,15
2024-03-07,12230,2843.7500000000005,18
2024-07-10,3213,549.9300000000001,6
2024-12-15,6265,924.22,8
2023-10-23,12040,2628.98,22
2022-04-08,3934,489.52,7
2022-10-09,16936,2110.8,16
2023-01-20,1026,64.51,2
2022-04-16,3943,471.72999999999996,8
2024-11-04,20597,1540.57,31
2023-12-02,1736,388.09,2
2022-11-08,3415,496.48,5
2024-03-17,5108,773.75,8
2024-10-03,15523,2558.62,19
2022-03-17,8025,1087.47,10
2023-01-27,19405,4182.59,30
2024-10-05,14517,3226.89,30
2022-09-22,12262,2866.96,17
2024-07-09,8889,2086.52,24
2023-09-29,13002,3229.49,18
2023-07-16,12870,1720.42,22
2022-04-13,5787,1173.28,14
2023-07-01,12713,1885.6100000000001,24
2023-07-14,14315,2948.45,37
2023-02-28,5047,915.75,7
2023-09-25,6787,962.33,9
2023-08-26,1027,259.92,1
2024-08-18,6183,359.54,9
2022-12-16,7812,1478.43,7
2024-05-04,11864,1877.4500000000003,20
2022-01-05,9056,1430.42,12
2022-06-14,1858,219.86,4
2024-07-12,6752,1554.36,14
2022-04-24,8600,1098.21,10
2023-11-30,11073,2115.81,30
2024-08-06,5569,801.17,20
2024-06-22,12937,2688.8199999999997,16
2024-02-02,4484,807.14,8
2023-03-13,13293,2202.1099999999997,32
2022-08-04,4293,803.92,5
